pairId,type,threshold,chunkIndex,section,rawSimilarity,boostedSimilarity,kept,status,boostKeywords,goldRelevant
P1,positive,0.350000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.350000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.400000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.400000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.450000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.450000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.500000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.500000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.550000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.550000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.600000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.600000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.650000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.650000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.700000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.700000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.720000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.720000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.750000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.750000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P1,positive,0.800000,0,教育,0.873297,0.978297,true,kept,Java|后端开发工程师|杭州,true
P1,positive,0.800000,1,项目,0.800884,0.905884,true,kept,Java|T+1|对账,true
P2,positive,0.350000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.350000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.400000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.400000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.450000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.450000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.500000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.500000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.550000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.550000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.600000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.600000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.650000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.650000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.700000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.700000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.720000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.720000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.750000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.750000,1,项目,0.751004,0.856004,true,kept,React|权限点|TypeScript,true
P2,positive,0.800000,0,教育,0.893998,0.998998,true,kept,前端开发工程师|React|视界互动,true
P2,positive,0.800000,1,项目,0.751004,0.856004,false,below-threshold,React|权限点|TypeScript,true
P3,positive,0.350000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.350000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
P3,positive,0.400000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.400000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
P3,positive,0.450000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.450000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
P3,positive,0.500000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.500000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
P3,positive,0.550000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.550000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
P3,positive,0.600000,0,教育,0.862052,0.967052,true,kept,推荐算法工程师|北辰信息流|北京,true
P3,positive,0.600000,1,项目,0.779478,0.884478,true,kept,CTR|PyTorch|AUC,true
